countyCode,city
UG,Veracruz
CH,Quetzaltenango
GM,Charlotte
GA,Ljubljana
HK,Taichung
GA,Dhaka
PS,Osaka
PR,Anadyr (town)
SG,Pyongyang
PT,Kuching
GE,Lisbon
UA,Ponta Delgada
FK,Cockburn Town
NI,Campinas
DO,Linz
KZ,Copenhagen
ES,City of Halifax
RE,Pontianak
NF,Gothenburg
GR,Kanpur
TR,Phuket (city)
DJ,Hamburg
SH,Apia
CI,Edinburgh
FO,Campinas
KR,Funafuti
HN,Stepanakert
FR,Bulawayo
DO,Bahía Blanca
EE,Ushuaia
FR,Mogadishu
AQ,Málaga
HN,Banjul
VE,Gaborone
DZ,Chongqing
CM,Naypyidaw
PW,Melekeok
PT,Taiyuan
JP,Shenzhen
GA,Campinas
IR,Chengdu
FI,Providence
HT,Castries
IT,Santiago de Cuba
NG,Minneapolis
GR,San Juan
SI,Niamey
GA,Kuwait City
ZA,Riverside
SO,Tegucigalpa
DK,Sucre
GB,Karachi
AI,Buenos Aires
BZ,Pune
MP,Fairbanks
AG,Washington
MA,Paris
TV,Jacksonville
KM,Lhasa
TR,Innsbruck
BZ,Santa Cruz de Tenerife
GY,Istanbul
EG,Rabi Island
PG,Sacramento
LS,Maracaibo
HR,Abu Dhabi
IL,Copenhagen
PW,Kano
AD,Lomé
LK,Lusaka
GS,Montreal
CC,Porto
WF,Pelotas
AI,Stanley
GI,Luanda
GH,Bissau
DO,Panama City
MK,Quetzaltenango
MH,Brisbane
KG,Chongjin
TZ,Kharkiv
TF,Pristina
CY,Mumbai
CO,Lahore
YE,Raleigh
IR,City of San Marino
AE,Longyearbyen
AL,Memphis
IN,Tampa
RE,Lusaka
IT,Pretoria
MQ,Rawalpindi
MM,Kolkata
GT,Düsseldorf
FJ,Bursa
TM,Miri
AE,Tamale
UG,Lanzhou
DJ,Chittagong
TR,Vitória
IO,Stanley
GQ,Stockholm
GL,Antofagasta
EE,Mogadishu
ID,Santiago
IL,Johor Bahru
GY,Mecca
LC,Davao City
PG,Raleigh
TF,Cayenne
NO,Vladivostok
KR,Málaga
AS,Dili
BG,Port of Spain
FI,Niamey
AQ,Hong Kong
CD,Fairbanks
IR,Innsbruck
PW,Panama City
DZ,Tegucigalpa
LK,Kota Bharu
GE,Nanning
JM,Sri Jayawardenapura-Kotte
UG,Saint-Denis
WF,Naples
TG,Sabha
GI,Phuket (city)
GT,Sabha
GP,Ankara
LI,Belmopan
TC,Quito
NP,El Aaiún
KG,Houston
NG,Hargeisa
AW,Mecca
AS,Doha
TV,Helsinki
VE,Nakhon Ratchasima
DM,Yellowknife
PG,Pretoria
LC,Chengdu
UM,Malmö
RU,Fortaleza
LK,Batticaloa
UM,Enugu
NI,Douala
FI,Kota Bharu
CN,Yaoundé
MC,Vienna
KZ,Sucre
CC,Dili
TT,Panama City
SK,Santiago de Cuba
UZ,Manaus
TK,Amritsar
BI,Quetzaltenango
PA,Vancouver
FJ,Manchester
TK,Invercargill
BT,London
HN,Oklahoma City
BD,Cardiff
GF,Avarua
SK,Helsinki
FR,Bamako
GY,Porto Velho
QA,Nanning
GP,Iquique
SJ,Conakry
LK,Charlotte Amalie
AG,Bangui
CS,Riga
AX,Porto Alegre
IM,Kano
VI,Xi'an
BF,Jakarta
SO,Nukulaelae
BA,Roseau
CF,Kinshasa
MK,Mogadishu
HT,Warsaw
CO,Athens
VC,Toronto
SR,La Paz
GF,San Francisco
MH,Sacramento
OM,Copenhagen
IO,Lucknow
PR,Puerto Williams
LC,Kathmandu
GW,Palikir
BD,Guadalajara
MR,Francistown
DJ,Pelotas
PA,Chongjin
MS,Fairbanks
RE,Avarua
TO,Tirana
GS,Port Moresby
TM,Weno
FR,Algiers
BO,Lviv
PG,Palembang
FJ,São Tomé
CN,Basra
PK,Birmingham
LY,Oranjestad
PA,Rio de Janeiro
FI,Changchun
CF,Campinas
LV,Miami
JM,Omsk
BS,Dongguan
AX,Forked River
PM,Quezon City
LT,Charlotte Amalie
AN,Hong Kong
BN,Batticaloa
PS,Luanda
KI,Austin
ST,Mwanza
ST,Toronto
CX,Kinshasa
UZ,Forked River
BB,Tiraspol
VN,Barranquilla
MO,Cannes
NF,City of San Marino
MO,Bridgetown
VI,Kunming
NC,Charlottetown
UZ,Yamoussoukro
RU,Ashgabat
MK,Okinawa
UZ,Baghdad
EH,Dongguan
BW,Las Vegas
TV,Birmingham
MK,Veracruz
CN,Nakhon Ratchasima
FO,City of San Marino
MT,Dededo
GS,Belize City
SB,Podgorica
MZ,Denpasar
KN,Hagåtña
MU,Charlotte
PK,Managua
KY,Islamabad
FO,Namangan
TJ,Cotonou
AL,Louisville
IT,Ndola
KE,Srinagar
LY,Wichita
BT,Ibiza
SH,Albuquerque
FJ,Vienna
KP,Marseille
AW,Port Louis
NI,Tamale
WF,Naples
HN,Hangzhou
PA,Chicago
FO,Kanpur
LB,Cardiff
MP,Perm
PM,Okinawa
SH,Huế
PW,Durban
TF,Antwerp
NG,Bujumbura
JM,Gdańsk
VN,Sapporo
AQ,Malacca Town
ML,Newcastle
AZ,Makassar
GL,Peshawar
CC,Maseru
BV,Saint Petersburg
EH,Toronto
TJ,Port Hedland
DE,Tashkent
WF,Atlanta
SJ,Vladivostok
CD,Avarua
NO,Sarajevo
MH,Cayenne
HR,Port Said
BR,Enugu
VU,Cali
BW,Saint John
HN,Naypyidaw
UG,Cusco
SN,Zhengzhou
YT,Buffalo
LT,Yellowknife
AG,Port Vila
GM,Aberdeen
PY,Valencia
AM,Rio Branco
CV,New Orleans
FK,New Orleans
LR,Basse-Terre
BH,Bissau
IS,Kigali
MH,Palembang
RE,Siem Reap
NP,Barranquilla
LI,Francistown
YE,Porto-Novo
ZM,Quito
ZA,Tianjin
MQ,Montreal
IN,Barcelona
RU,Pago Pago
RE,Surabaya
FK,Munich
PR,Espoo
KR,Pune
ZW,Detroit
PT,Chicago
EH,Thiès
HT,Oranjestad
LA,São José dos Campos
CX,Boston
NU,Vienna
ML,Buenos Aires
PH,Zapopan
GY,Chittagong
CY,La Paz
VI,Buenos Aires
NG,Sukhumi
CN,Udon Thani
VU,Livingstone
TL,Austin
HU,Adamstown
TR,Bishkek
AE,Dili
GQ,Lahore
LV,Surabaya
SM,Pago Pago
SY,Port Vila
SH,Porto Alegre
PE,Saskatoon
NU,Seoul
BO,Tripoli
IL,Iquique
CN,Makati City
IR,Buenos Aires
GR,Suva
BY,Xi'an
TT,San Carlos de Bariloche
DZ,Yokohama
BA,Ibiza
CD,Bucharest
MK,Qingdao
LY,Wellington
CK,Porto-Novo
GI,Quetzaltenango
GU,Lobamba
FI,Zanzibar City
NL,Hangzhou
LU,Nuuk
OM,Ouagadougou
GI,Nashville
VC,Anadyr (town)
HR,Luanda
EH,Lobamba
SN,Stuttgart
AQ,Bergen
CU,Nanning
IR,Córdoba
SE,Nagpur
VA,Geneva
VU,Kuching
NG,Kobe
LV,Düsseldorf
MW,Port of Spain
BA,Budapest
LK,Shenzhen
ER,Koulikoro
BR,Mersin
SA,Port Hedland
GY,Adamstown
VU,Bratislava
GS,Phoenix
KY,Makati City
GL,Kano
GQ,Port Blair
CZ,South Tarawa
PR,Rochester
DK,Guayaquil
PS,Durban
RO,Handan
ZA,Charlottetown
IR,Split (city)
AT,Tiraspol
GP,Bucharest
NR,Enugu
RO,Marseille
VI,Cincinnati
GE,Cannes
AI,Kawasaki
LC,Albuquerque
GS,Dushanbe
BV,Baghdad
CH,Sabha
NI,Nagpur
LR,Sucre
MO,Patna
AN,Tamale
IT,Tripoli
FI,Davao City
MC,Montreal
NO,Portland
KY,Rawalpindi
MG,Puebla
PR,Maseru
FR,Dalian
MT,Brasília
PL,Bratsk
ML,Vladivostok
DE,Valencia
PF,Nanning
IO,Adak
FM,Yaoundé
TL,Sarajevo
JE,Doha
UY,Tijuana
AF,Hamburg
RO,Gold Coast
GR,Madrid
MX,Niamey
IL,Kolkata
SG,Honolulu
EH,Quito
AN,Rio de Janeiro
RO,Vientiane
NR,Andorra la Vella
CV,Pelotas
LS,Shenzhen
BI,Kandy
LA,Niamey
BB,Norilsk
RE,Nouakchott
VA,Niamey
AQ,Nicosia
HN,City of San Marino
VG,Kaesong
PL,Hiroshima
FJ,Alofi
NC,Dakar
EH,Berlin
GW,Valdivia
MZ,Shenzhen
UY,Concepción
RU,Lanzhou
FI,Majuro
HN,Christchurch
FM,Bratislava
FO,Luanda
GW,Srinagar
AL,Valdivia
FM,Porto Alegre
IO,Moroni
YE,Calama
GR,Saint-Denis
SB,Whitehorse
RE,Bulawayo
BY,Hanover
HK,Cleveland
BD,San José
CU,Ouagadougou
PH,Bloemfontein
CU,Horta (Azores)
MM,Zürich
AW,Naypyidaw
NR,Belize City
BT,Tamale
AZ,Francistown
GP,Ibadan
PS,Santa Cruz de la Sierra
KE,El Paso
UY,Campinas
BG,Timbuktu
UA,Zürich
SM,Fukuoka
UY,Port-au-Prince
TC,Leeds
GB,Recife
TL,Perm
SC,Mata-Utu
RW,Concepción
CX,Greenwich
BB,Sapporo
CI,Nairobi
CS,Campinas
ES,Rabi Island
SZ,Reykjavík
ZA,Quetzaltenango
DE,Córdoba
IN,Ndola
GS,Lima
TV,Mbabane
KP,Saint-Denis
VA,Singapore
AI,Djibouti (city)
FK,Kota Kinabalu
BD,Antofagasta
VN,Kyoto
JO,Iquique
VA,Rio Branco
SA,City of Halifax
SH,Gaborone
GP,Samara
DJ,Dar es Salaam
CM,Mérida
SK,Kyoto
BN,Turin
TZ,San Francisco
BB,Nicosia
UA,Puebla
JP,Kigali
PR,The Hague
AE,Tunis
BO,Bern
MY,Copenhagen
IN,Espoo
UG,Dalian
NZ,Bahía Blanca
KW,Rockhampton
JM,Lucknow
PS,Siem Reap
CD,Bujumbura
LI,Townsville
FI,Denver
GQ,Tartu
SZ,Jaipur
LK,Vaduz
GU,Pontianak
KM,Espoo
CS,Adamstown
GR,Quito
MD,Phuket (city)
NF,Edmonton
AR,Riyadh
HK,Tunis
KI,Nuuk
BI,Boa Vista
TJ,Adak
CM,Austin
KR,Quetzaltenango
PW,Nouméa
PS,Wonsan
DE,Chennai
FM,Shillong
PK,Antananarivo
BB,Istanbul
LY,Veracruz
TN,Zapopan
HR,Tampa
MS,Jerusalem
SD,Guadalajara
PS,Forked River
DO,Lusaka
SD,Lagos
SE,Huế
JE,Lucknow
BF,New York City
LY,Quezon City
GM,Toulouse
MX,Taiyuan
CY,Astana
TV,Prague
BJ,Chittagong
BG,Freetown
PN,Gold Coast
FK,Alofi
MA,Panama City
PS,Mandurah
YE,Lyon
BB,Madrid
AM,Port of Spain
HK,Valdivia
PE,Hilo
TM,Ambon
IR,Oklahoma City
PW,Virginia Beach
CV,Arequipa
CY,Praia
GD,Chongqing
LY,Nanning
VC,Pago Pago
UG,Brasília
GH,La Paz
JM,Funafuti
KP,Hiroshima
HM,Horta (Azores)
ER,Nanjing
SD,Libreville
UA,Port Vila
CA,Abuja
TK,Pekanbaru
PS,Changchun
VC,Minneapolis
OM,Fukuoka
BW,Winnipeg
AR,Yaoundé
SL,Basse-Terre
GY,Saint-Denis
SY,Hamburg
GT,Port Said
GB,Palma
JO,Houston
BS,Tabriz
NF,Pattaya
CA,Iqaluit
LI,Cairns
TD,Sitka
FI,Berlin
TM,Anchorage
FJ,Lhasa
RU,Bucharest
FJ,Antofagasta
AQ,Nukulaelae
NU,Fredericton
KH,Majuro
NI,Colombo
KZ,Quetzaltenango
CR,Liverpool
CO,Valdivia
LK,Dongguan
BT,Bursa
ES,Buenos Aires
LB,Leipzig
SD,Lobamba
LR,Ahmedabad
GQ,Pontianak
BS,Saint Petersburg
JP,Alor Star
NG,Manaus
AW,Omsk
LI,Kunming
TF,Serekunda
ER,Moroni
YT,Kanpur
SZ,Guatemala City
ML,Recife
ZM,Bogotá
NE,Maceió
SK,Lagos
FI,Bangui
IT,Bridgetown
BE,Chihuahua
BD,Cebu City
KZ,Chengdu
LA,Wichita
BW,Abidjan
UY,Vaduz
BS,Montevideo
RE,Tamale
QA,Palma
CZ,Hong Kong
BJ,Athens
BH,Brikama
ML,Hamburg
BH,Zagreb
ZA,Gdańsk
MV,Doha
MO,Bangalore
HN,Gaziantep
AS,Tskhinvali
GE,Curitiba
BW,Fortaleza
CI,Melbourne
MS,Dushanbe
BV,Yangon
CA,Bergen
PG,Townsville
YT,El Paso
UA,Tirana
PT,Montreal
NA,Buffalo
WF,Sarajevo
TF,Milwaukee
TH,La Paz
KI,Monaco
CX,Da Nang
IS,Niamey
DJ,Malmö
IL,New York City
GR,Manila
JO,The Hague
LC,Sofia
PN,Hangzhou
BR,Da Nang
SO,St. John's
AI,Port of Spain
MP,Kharkiv
AU,Vladivostok
BO,Assis
CS,Belize City
MC,Port of Spain
LR,Winnipeg
ZA,Palikir
MZ,Dammam
PL,Changchun
CC,Pune
CU,Salt Lake City
CK,Zapopan
KZ,Austin
SY,Balikpapan
BI,San José
BR,Aarhus
IS,Panama City
KM,Nizhny Novgorod
ER,Dunedin
SC,Adamstown
GA,Udon Thani
BJ,Helsinki
CC,Vitória
NI,Bogor
AR,Málaga
PN,Accra
IM,Recife
KI,Managua
DZ,Buenos Aires
MC,Innsbruck
CO,Lanzhou
GD,Kinshasa
MA,Islamabad
YT,Ipoh
PN,Samara
LB,Odessa
TC,St. John's
MV,Fairbanks
GT,Dubai
NU,Incheon
GT,Alofi
GN,Doha
ER,Astana
NP,Blantyre
PS,San Antonio
UZ,San Fernando
BH,Batticaloa
ET,Tiraspol
KH,Melekeok
RE,Ouagadougou
CG,Santa Cruz de la Sierra
UA,Banda Aceh
PL,Jersey City
MD,Bishkek
IN,Cork (city)
AL,Muscat
YT,Toulouse
FM,Saint-Denis
NA,Espoo
BB,Bamako
NA,Colombo
NA,Adana
AI,Fort-de-France
WS,Suez
BW,Aberdeen
UA,Jaipur
KG,Basra
LI,Dededo
BZ,Shillong
IM,Papeete
TW,Istanbul
CI,Edmonton
NP,Kanpur
AO,Quetzaltenango
UZ,Mogadishu
VN,Sukhumi
LT,Detroit
EH,Qingdao
CN,Charlottetown
HM,Manaus
MY,Port of Spain
VE,Jamestown
KW,Darwin
TL,Lanzhou
GS,Arequipa
KM,Sydney
DK,Sydney
AX,Detroit
SZ,Bissau
UY,London
KY,Adak
EE,Sri Jayawardenapura-Kotte
GU,Damascus
EH,Ushuaia
NZ,Hargeisa
MM,Davao City
FM,St. John's
EC,Surat
ZW,Perth
CH,Libreville
HM,Perth
JP,Indianapolis
LT,Berlin
MQ,Nouakchott
HN,Invercargill
KR,Mashhad
AI,Tianjin
AU,Dammam
IE,Surat Thani
MR,Taichung
PW,Brazzaville
PT,Valencia
CD,Helsinki
RE,Funafuti
IS,Lubumbashi
TV,Kuching
HT,San Antonio
AR,Maseru
CS,Sapporo
SL,Puerto Williams
CA,The Valley
JM,Aberdeen
NU,Cape Town
CY,Leipzig
AE,Tampa
PF,Calama
GM,City of San Marino
LV,Shenzhen
TG,Quebec City
PM,Buenos Aires
GN,Makati City
KG,Rome
MS,Chihuahua
DJ,Bulawayo
PS,Dallas
SD,Shigatse
KW,Cardiff
AE,São Tomé
NC,Sofia
SM,Montevideo
NU,Arbil
GA,Kaesong
SO,Serekunda
FM,São Tomé
AO,Gaziantep
BN,Arequipa
BN,Belgrade
IL,Las Palmas de Gran Canaria
EG,Taipei
IM,Harare
BF,Saint John
GT,Shigatse
NI,Vienna
FO,Durban
GP,Malé
MO,Koror
KG,Monterrey
SG,Amritsar
HK,Naples
BY,Managua
GE,Luxor
PL,Budapest
UA,Punta Arenas
TK,Angra do Heroísmo
NE,Shenzhen
AF,Conakry
NC,New York City
AQ,Simferopol
LA,Seattle
KI,Almaty
NP,Gaza
SK,Dodoma
MH,Hyderabad
BI,Banjul
BW,San Diego
PN,Rosario
TN,Mogadishu
TT,Batticaloa
LC,Miami
HN,Yaren District
IE,San Diego
GP,Kingston
NU,Honiara
PN,Lucknow
ET,Funafuti
FO,Livingstone
AE,Douglas
AE,Lima
AX,Padang
GA,Kathmandu
MV,Cali
LI,Simferopol
MH,Wellington
WF,Ankara
SA,Bloemfontein
GN,Edmonton
AD,Basse-Terre
NO,Oklahoma City
LK,Milwaukee
GG,Baghdad
UM,Townsville
VC,Manama
IT,Bern
NA,Sukhumi
LY,Porto Alegre
NZ,Riverside
GP,Bangkok
FR,Chongqing
TT,Ouagadougou
ID,Konya
NL,Hyderabad
NU,Columbus
KN,Stockholm
KG,Nairobi
SM,Phuket (city)
UZ,Dallas
IR,Porto-Novo
DM,Surabaya
BJ,Mexico City
SB,Konya
TL,Guadalajara
MK,Hat Yai
AM,Minneapolis
SY,Port Said
CH,Dalian
IT,Xi'an
CI,Freetown
KZ,Niamey
IO,Maseru
FK,Guadalajara
HM,Taipei
PN,Antwerp
ZM,Sabha
CX,Mashhad
GH,Bucharest
TK,Detroit
BY,Puerto Williams
MM,Denver
CA,Luxembourg (city)
GS,Johor Bahru
US,Thiès
YT,Barranquilla
SO,Niamey
MA,Ashgabat
MD,Sarajevo
EH,Luanda
BH,Gangtok
VG,Columbus
AM,Nagpur
MZ,George Town
BO,Dresden
PR,Amritsar
JP,Dresden
LK,Malé
CK,Da Nang
RU,Enugu
ST,St. George's
BZ,New Delhi
AZ,Monaco
EH,Monterrey
LA,Bilbao
IO,Invercargill
KW,Saint John
GW,Pune
CZ,New Orleans
CR,Taiyuan
MT,Marrakech
FK,Koror
TF,Belize City
GF,Calgary
KM,Yellowknife
LC,St. John's
MW,Valletta
KE,Manzini
CX,Los Angeles
BD,Vitória
CO,Dushanbe
TO,Zürich
AR,Tabriz
US,Okinawa
IT,Nouakchott
CU,Saint John
GR,Cockburn Town
GR,Belgrade
BH,Mogadishu
BO,Tucson
SG,Xi'an
NI,Saipan
MH,Ottawa
PF,Rotterdam
PR,Dresden
PH,Beirut
EH,Serekunda
PT,Calgary
NF,Karachi
LT,Porto
KY,Naypyidaw
DZ,Malé
DE,Bamako
PK,Maracaibo
LY,City of Halifax
GE,Toronto
TK,Dalian
PM,São Tomé
IQ,Tijuana
GF,Koulikoro
NZ,Malabo
TZ,Sabha
PK,Doha
DJ,Phuket (city)
AO,Kyoto
AU,Kano
DZ,Las Vegas
IE,Alor Star
SL,Geelong
TL,Port of Spain
MR,Hyderabad
LR,Port Hedland
VE,Leipzig
NE,Marseille
NU,Stockholm
NE,Nairobi
GF,Townsville
GY,Da Nang
MG,Beirut
BI,Jamestown
MA,Kanpur
UG,Ludhiana
CG,Willemstad
AL,Taipei
AI,Boa Vista
AZ,Colombo
NF,Ibiza
WF,Tartu
AL,Ponta Delgada
NZ,Chaguanas
AO,Honiara
GU,Kigali
SH,Johor Bahru
US,Enugu
VI,Alexandria
TG,Kiev
DE,Bangui
AX,Split (city)
HT,Sana'a
CK,Barcelona
VG,Ashgabat
HU,Oklahoma City
RE,Xi'an
HK,Qingdao
PE,Livingstone
SO,Thiès
AO,Vatican City
UZ,Havana
SO,Apia
PE,Campo Grande
DJ,Odessa
SC,Boston
NR,Hagåtña
CL,Tucson
GY,Innsbruck
SM,Monaco
BB,St. Louis
MG,Jeddah
AG,Santa Cruz de Tenerife
MG,St. George's
VG,Gdańsk
MU,Riverside
NC,Santa Cruz de Tenerife
FJ,Djibouti (city)
AM,City of San Marino
FI,Rawalpindi
AZ,Edinburgh
SH,Assis
PW,Tijuana
KY,Ludhiana
SC,Port Said
BW,Townsville
EC,Abidjan
AL,Invercargill
AE,Cuiabá
MW,Manzini
NL,Hiroshima
MQ,Aberdeen
PY,Agartala
LC,Astana
IL,Cork (city)
NR,Miami
NL,Arbil
AU,Asmara
TT,London
BD,Mandurah
TG,Brikama
BH,Raleigh
AG,Santo Domingo
GY,Arequipa
MZ,Warsaw
PL,Majuro
RE,Damascus
LB,Brazzaville
GH,Jaipur
SN,Saint-Denis
TC,Miri
GB,Omsk
HU,Belmopan
MQ,Kuala Lumpur
NL,Taichung
AW,Pune
DK,Tianjin
UY,Omsk
DE,Beijing
AU,Serekunda
LY,Bogor
GE,Alexandria
EC,El Paso
NF,Bujumbura
CZ,Rabi Island
FK,Riga
DO,Djibouti (city)
NC,Kaesong
NZ,Rabi Island
NE,Mérida
CI,Antwerp
SJ,Pontianak
MX,South Tarawa
GE,Salt Lake City
FM,Zanzibar City
NA,Durban
US,Vilnius
SG,Dallas
GY,Denpasar
JO,El Paso
SA,Peshawar
NC,Yamoussoukro
SZ,Tianjin
MN,Darwin
MW,Zürich
BZ,Arequipa
CX,Anadyr (town)
IO,Los Angeles
KN,Bishkek
CK,Arbil
GB,Montevideo
HN,Guatemala City
KM,Port Vila
PA,Brikama
AW,Stockholm
RE,Dodoma
TC,Dushanbe
TW,Prague
BT,Nice
SK,Serekunda
SD,Tamale
LA,Baku
JO,Bangalore
BV,Bratsk
CK,Tirana
ES,Mumbai
AN,Beijing
TL,Campinas
KW,Freetown
CY,Luxembourg (city)
IQ,Rio Branco
SG,Saint John
NL,Kano
NE,Istanbul
LU,Porto Alegre
TH,Mashhad
BW,Basra
GP,Koror
SR,Dibrugarh
VG,Kunming
CZ,Jamestown
KN,Cotonou
VN,Rabi Island
AM,Jakarta
VG,Damascus
JO,Glasgow
DZ,Iquitos
GU,Serekunda
IO,Arequipa
NE,Labasa
AI,San José
SV,Roseau
AS,Surat
MH,Davao City
SD,Wollongong
TG,Sukhumi
FJ,Chongqing
RU,Saint-Denis
NO,Lanzhou
SD,Monterrey
CL,Puerto Williams
GY,Sana'a
NE,Hanoi
NA,Minneapolis
ET,Avarua
AO,Anchorage
ZM,Curitiba
EE,Arbil
AG,Valparaíso
DZ,Columbus
AU,Sacramento
AR,Balikpapan
SD,Málaga
NL,Whitehorse
GD,Antananarivo
LB,Cayenne
FO,San Carlos de Bariloche
ZA,Chuí
